Linhvuc,Quocgia,Tencongty
Banking,China,#1 ICBC
Oil & Gas Operations,Thailand,#234 PTT 
Banking,Qatar,#221 Qatar National Bank
Semiconductors,Taiwan,#66 Taiwan Semiconductor
Technology Hardware & Equipment,South Korea,#11 Samsung Electronics
Consumer Durables,Japan,#12 Toyota Motor
Banking,China,#9 Agricultural Bank of China
Insurance,China,#6 Ping An Insurance Group
Banking,China,#4 China Construction Bank
Telecommunications Services,Hong Kong,#32 China Mobile
